Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,No_of_Votes,Gross
Alien,1979,R,117,Horror,8.4,89,Ridley Scott,787806,78900000
Anand,1971,U,122,Drama,8.4,,Hrishikesh Mukherjee,30273,
Tengoku to jigoku,1963,,143,Crime,8.4,,Akira Kurosawa,34357,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,A,95,Comedy,8.4,97,Stanley Kubrick,450474,275902
Witness for the Prosecution,1957,U,116,Crime,8.4,,Billy Wilder,108862,8175000
Paths of Glory,1957,A,88,Drama,8.4,90,Stanley Kubrick,178092,
Rear Window,1954,U,112,Mystery,8.4,100,Alfred Hitchcock,444074,36764313
Sunset Blvd.,1950,Passed,110,Drama,8.4,,Billy Wilder,201632,
The Great Dictator,1940,Passed,125,Comedy,8.4,,Charles Chaplin,203150,288475
1917,2019,R,119,Drama,8.3,78,Sam Mendes,425844,159227644
Tumbbad,2018,A,104,Drama,8.3,,Rahi Anil Barve,27793,
Andhadhun,2018,UA,139,Crime,8.3,,Sriram Raghavan,71875,1373943
Drishyam,2013,U,160,Crime,8.3,,Jeethu Joseph,30722,
Jagten,2012,R,115,Drama,8.3,77,Thomas Vinterberg,281623,687185
Jodaeiye Nader az Simin,2011,PG-13,123,Drama,8.3,95,Asghar Farhadi,220002,7098492
Incendies,2010,R,131,Drama,8.3,80,Denis Villeneuve,150023,6857096
Miracle in cell NO.7,2019,TV-14,132,Drama,8.3,,Mehmet Ada Öztekin,33935,
Babam ve Oglum,2005,,112,Drama,8.3,,Çagan Irmak,78925,
Inglourious Basterds,2009,A,153,Adventure,8.3,69,Quentin Tarantino,1267869,120540719
Eternal Sunshine of the Spotless Mind,2004,UA,108,Drama,8.3,89,Michel Gondry,911664,34400301
Amélie,2001,U,122,Comedy,8.3,69,Jean-Pierre Jeunet,703810,33225499
Snatch,2000,UA,104,Comedy,8.3,55,Guy Ritchie,782001,30328156
Requiem for a Dream,2000,A,102,Drama,8.3,68,Darren Aronofsky,766870,3635482
American Beauty,1999,UA,122,Drama,8.3,84,Sam Mendes,1069738,130096601
Good Will Hunting,1997,U,126,Drama,8.3,70,Gus Van Sant,861606,138433435
Bacheha-Ye aseman,1997,PG,89,Drama,8.3,77,Majid Majidi,65341,933933
Toy Story,1995,U,81,Animation,8.3,95,John Lasseter,887429,191796233
Braveheart,1995,A,178,Biography,8.3,68,Mel Gibson,959181,75600000
Reservoir Dogs,1992,R,99,Crime,8.3,79,Quentin Tarantino,918562,2832029
Full Metal Jacket,1987,UA,116,Drama,8.3,76,Stanley Kubrick,675146,46357676
Idi i smotri,1985,A,142,Drama,8.3,,Elem Klimov,59056,
Aliens,1986,U,137,Action,8.3,84,James Cameron,652719,85160248
Amadeus,1984,R,160,Biography,8.3,88,Milos Forman,369007,51973029
Scarface,1983,A,170,Crime,8.3,65,Brian De Palma,740911,45598982
Star Wars: Episode VI - Return of the Jedi,1983,U,131,Action,8.3,58,Richard Marquand,950470,309125409
Das Boot,1981,R,149,Adventure,8.3,86,Wolfgang Petersen,231855,11487676
Taxi Driver,1976,A,114,Crime,8.3,94,Martin Scorsese,724636,28262574
The Sting,1973,U,129,Comedy,8.3,83,George Roy Hill,241513,159600000
A Clockwork Orange,1971,A,136,Crime,8.3,77,Stanley Kubrick,757904,6207725
2001: A Space Odyssey,1968,U,149,Adventure,8.3,84,Stanley Kubrick,603517,56954992
Per qualche dollaro in più,1965,U,132,Western,8.3,74,Sergio Leone,232772,15000000
Lawrence of Arabia,1962,U,228,Adventure,8.3,100,David Lean,268085,44824144
The Apartment,1960,U,125,Comedy,8.3,94,Billy Wilder,164363,18600000
North by Northwest,1959,U,136,Adventure,8.3,98,Alfred Hitchcock,299198,13275000
Vertigo,1958,A,128,Mystery,8.3,100,Alfred Hitchcock,364368,3200000
Singin' in the Rain,1952,G,103,Comedy,8.3,99,Stanley Donen,218957,8819028
Ikiru,1952,,143,Drama,8.3,,Akira Kurosawa,68463,55240
Ladri di biciclette,1948,,89,Drama,8.3,,Vittorio De Sica,146427,332930
Double Indemnity,1944,Passed,107,Crime,8.3,95,Billy Wilder,143525,5720000
Citizen Kane,1941,UA,119,Drama,8.3,100,Orson Welles,403351,1585634
M - Eine Stadt sucht einen Mörder,1931,Passed,117,Crime,8.3,,Fritz Lang,143434,28877
Metropolis,1927,,153,Drama,8.3,98,Fritz Lang,159992,1236166
The Kid,1921,Passed,68,Comedy,8.3,,Charles Chaplin,113314,5450000
Chhichhore,2019,UA,143,Comedy,8.2,,Nitesh Tiwari,33893,898575
Uri: The Surgical Strike,2018,UA,138,Action,8.2,,Aditya Dhar,43444,4186168
K.G.F: Chapter 1,2018,UA,156,Action,8.2,,Prashanth Neel,36680,
Green Book,2018,UA,130,Biography,8.2,69,Peter Farrelly,377884,85080171
"Three Billboards Outside Ebbing, Missouri",2017,A,115,Comedy,8.2,88,Martin McDonagh,432610,54513740
Talvar,2015,UA,132,Crime,8.2,,Meghna Gulzar,31142,342370
Baahubali 2: The Conclusion,2017,UA,167,Action,8.2,,S.S. Rajamouli,75348,20186659
Klaus,2019,PG,96,Animation,8.2,65,Sergio Pablos,104761,
Drishyam,2015,UA,163,Crime,8.2,,Nishikant Kamat,70367,739478
Queen,2013,UA,146,Adventure,8.2,,Vikas Bahl,60701,1429534
Mandariinid,2013,,87,Drama,8.2,73,Zaza Urushadze,40382,144501
Bhaag Milkha Bhaag,2013,U,186,Biography,8.2,,Rakeysh Omprakash Mehra,61137,1626289
Gangs of Wasseypur,2012,A,321,Action,8.2,89,Anurag Kashyap,82365,
Udaan,2010,UA,134,Drama,8.2,,Vikramaditya Motwane,42341,7461
Paan Singh Tomar,2012,UA,135,Action,8.2,,Tigmanshu Dhulia,33237,39567
El secreto de sus ojos,2009,R,129,Drama,8.2,80,Juan José Campanella,193217,6391436
Warrior,2011,UA,140,Action,8.2,71,Gavin O'Connor,435950,13657115
Shutter Island,2010,A,138,Mystery,8.2,63,Martin Scorsese,1129894,128012934
Up,2009,U,96,Animation,8.2,88,Pete Docter,935507,293004164
The Wolf of Wall Street,2013,A,180,Biography,8.2,75,Martin Scorsese,1187498,116900694
Chak De! India,2007,U,153,Drama,8.2,68,Shimit Amin,74129,1113541
There Will Be Blood,2007,A,158,Drama,8.2,93,Paul Thomas Anderson,517359,40222514
Pan's Labyrinth,2006,UA,118,Drama,8.2,98,Guillermo del Toro,618623,37634615
Toy Story 3,2010,U,103,Animation,8.2,92,Lee Unkrich,757032,415004880
V for Vendetta,2005,A,132,Action,8.2,62,James McTeigue,1032749,70511035
Rang De Basanti,2006,UA,167,Comedy,8.2,,Rakeysh Omprakash Mehra,111937,2197331
Black,2005,U,122,Drama,8.2,,Sanjay Leela Bhansali,33354,733094
Batman Begins,2005,UA,140,Action,8.2,70,Christopher Nolan,1308302,206852432
"Swades: We, the People",2004,U,210,Drama,8.2,,Ashutosh Gowariker,83005,1223240
Der Untergang,2004,R,156,Biography,8.2,82,Oliver Hirschbiegel,331308,5509040
Hauru no ugoku shiro,2004,U,119,Animation,8.2,80,Hayao Miyazaki,333915,4711096
A Beautiful Mind,2001,UA,135,Biography,8.2,72,Ron Howard,848920,170742341
Hera Pheri,2000,U,156,Action,8.2,,Priyadarshan,57057,
"Lock, Stock and Two Smoking Barrels",1998,A,107,Action,8.2,66,Guy Ritchie,535216,3897569
L.A. Confidential,1997,A,138,Crime,8.2,90,Curtis Hanson,531967,64616940
Eskiya,1996,,128,Crime,8.2,,Yavuz Turgul,64118,
Heat,1995,A,170,Crime,8.2,76,Michael Mann,577113,67436818
Casino,1995,A,178,Crime,8.2,73,Martin Scorsese,466276,42438300
Andaz Apna Apna,1994,U,160,Action,8.2,,Rajkumar Santoshi,49300,
Unforgiven,1992,A,130,Drama,8.2,85,Clint Eastwood,375935,101157447
Indiana Jones and the Last Crusade,1989,U,127,Action,8.2,65,Steven Spielberg,692366,197171806
Dom za vesanje,1988,R,142,Comedy,8.2,,Emir Kusturica,26402,280015
Tonari no Totoro,1988,U,86,Animation,8.2,86,Hayao Miyazaki,291180,1105564
Die Hard,1988,A,132,Action,8.2,72,John McTiernan,793164,83008852
Ran,1985,U,162,Action,8.2,96,Akira Kurosawa,112505,4135750
Raging Bull,1980,A,129,Biography,8.2,89,Martin Scorsese,321860,23383987
Stalker,1979,U,162,Drama,8.2,,Andrei Tarkovsky,116945,234723
Höstsonaten,1978,U,99,Drama,8.2,,Ingmar Bergman,26875,
The Message,1976,PG,177,Biography,8.2,,Moustapha Akkad,43885,
Sholay,1975,U,204,Action,8.2,,Ramesh Sippy,51284,
Monty Python and the Holy Grail,1975,PG,91,Adventure,8.2,91,Terry Gilliam,500875,1229197
The Great Escape,1963,U,172,Adventure,8.2,86,John Sturges,224730,12100000
To Kill a Mockingbird,1962,U,129,Crime,8.2,88,Robert Mulligan,293811,
Yôjinbô,1961,,110,Action,8.2,,Akira Kurosawa,111244,
Judgment at Nuremberg,1961,A,179,Drama,8.2,60,Stanley Kramer,69458,
Some Like It Hot,1959,U,121,Comedy,8.2,98,Billy Wilder,243943,25000000
Smultronstället,1957,U,91,Drama,8.2,88,Ingmar Bergman,96381,
Det sjunde inseglet,1957,A,96,Drama,8.2,88,Ingmar Bergman,164939,
Du rififi chez les hommes,1955,,118,Crime,8.2,97,Jules Dassin,28810,57226
Dial M for Murder,1954,A,105,Crime,8.2,75,Alfred Hitchcock,158335,12562
Tôkyô monogatari,1953,U,136,Drama,8.2,,Yasujirô Ozu,53153,
Rashômon,1950,,88,Crime,8.2,98,Akira Kurosawa,152572,96568
All About Eve,1950,Passed,138,Drama,8.2,98,Joseph L. Mankiewicz,120539,10177
The Treasure of the Sierra Madre,1948,Passed,126,Adventure,8.2,98,John Huston,114304,5014000
To Be or Not to Be,1942,Passed,99,Comedy,8.2,86,Ernst Lubitsch,29915,
The Gold Rush,1925,Passed,95,Adventure,8.2,,Charles Chaplin,101053,5450000
Sherlock Jr.,1924,Passed,45,Action,8.2,,Buster Keaton,41985,977375
Portrait de la jeune fille en feu,2019,R,122,Drama,8.1,95,Céline Sciamma,63134,3759854
Pink,2016,UA,136,Drama,8.1,,Aniruddha Roy Chowdhury,39216,1241223
Koe no katachi,2016,16,130,Animation,8.1,78,Naoko Yamada,47708,
Contratiempo,2016,TV-MA,106,Crime,8.1,,Oriol Paulo,141516,
Ah-ga-ssi,2016,A,145,Drama,8.1,84,Chan-wook Park,113649,2006788
Mommy,2014,R,139,Drama,8.1,74,Xavier Dolan,50700,3492754
Haider,2014,UA,160,Action,8.1,,Vishal Bhardwaj,50445,901610
Logan,2017,A,137,Action,8.1,77,James Mangold,647884,226277068
Room,2015,R,118,Drama,8.1,86,Lenny Abrahamson,371538,14677674
